Easting,Northing
500600,183300
500600,183400
500600,183500
500600,183600
500600,183700
500600,183800
500600,183900
500600,184000
500600,184100
500600,184200
500600,184300
500600,184400
500600,184500
500600,184600
500600,184700
500600,184800
500600,184900
500600,185000
500600,185100
500600,185200
500600,185300
500600,185400
500600,185500
500600,185600
500600,185700
500600,185800
500600,185900
500600,186000
500600,186100
500600,186200
500600,186300
500600,186400
500600,186500
500600,186600
500600,186700
500600,186800
500600,186900
500600,187000
500600,187100
500600,187200
500600,187300
500600,187400
500600,187500
500600,187600
500600,187700
500600,187800
500600,187900
500600,188000
500600,188100
500600,188200
500600,188300
500600,188400
500600,188500
500600,188600
500600,188700
500600,188800
500600,188900
500600,189000
500600,189100
500600,189200
500600,189300
500600,189400
500600,189500
500600,189600
500600,189700
500600,189800
500600,189900
500600,190000
500700,180100
500700,180200
500700,180300
500700,180400
500700,180500
500700,180600
500700,180700
500700,180800
500700,180900
500700,181000
500700,181100
500700,181200
500700,181300
500700,181400
500700,181500
500700,181600
500700,181700
500700,181800
500700,181900
500700,182000
500700,182100
500700,182200
500700,182300
500700,182400
500700,182500
500700,182600
500700,182700
500700,182800
500700,182900
500700,183000
500700,183100
500700,183200
500700,183300
500700,183400
500700,183500
500700,183600
500700,183700
500700,183800
500700,183900
500700,184000
500700,184100
500700,184200
500700,184300
500700,184400
500700,184500
500700,184600
500700,184700
500700,184800
500700,184900
500700,185000
500700,185100
500700,185200
500700,185300
500700,185400
500700,185500
500700,185600
500700,185700
500700,185800
500700,185900
500700,186000
500700,186100
500700,186200
500700,186300
500700,186400
500700,186500
500700,186600
500700,186700
500700,186800
500700,186900
500700,187000
500700,187100
500700,187200
500700,187300
500700,187400
500700,187500
500700,187600
500700,187700
500700,187800
500700,187900
500700,188000
500700,188100
500700,188200
500700,188300
500700,188400
500700,188500
500700,188600
500700,188700
500700,188800
500700,188900
500700,189000
500700,189100
500700,189200
500700,189300
500700,189400
500700,189500
500700,189600
500700,189700
500700,189800
500700,189900
500700,190000
500800,180100
500800,180200
500800,180300
500800,180400
500800,180500
500800,180600
500800,180700
500800,180800
500800,180900
500800,181000
500800,181100
500800,181200
500800,181300
500800,181400
500800,181500
500800,181600
500800,181700
500800,181800
500800,181900
500800,182000
500800,182100
500800,182200
500800,182300
500800,182400
500800,182500
500800,182600
500800,182700
500800,182800
500800,182900
500800,183000
500800,183100
500800,183200
500800,183300
500800,183400
500800,183500
500800,183600
500800,183700
500800,183800
500800,183900
500800,184000
500800,184100
500800,184200
500800,184300
500800,184400
500800,184500
500800,184600
500800,184700
500800,184800
500800,184900
500800,185000
500800,185100
500800,185200
500800,185300
500800,185400
500800,185500
500800,185600
500800,185700
500800,185800
500800,185900
500800,186000
500800,186100
500800,186200
500800,186300
500800,186400
500800,186500
500800,186600
500800,186700
500800,186800
500800,186900
500800,187000
500800,187100
500800,187200
500800,187300
500800,187400
500800,187500
500800,187600
500800,187700
500800,187800
500800,187900
500800,188000
500800,188100
500800,188200
500800,188300
500800,188400
500800,188500
500800,188600
500800,188700
500800,188800
500800,188900
500800,189000
500800,189100
500800,189200
500800,189300
500800,189400
500800,189500
500800,189600
500800,189700
500800,189800
500800,189900
500800,190000
500900,180100
500900,180200
500900,180300
500900,180400
500900,180500
500900,180600
500900,180700
500900,180800
500900,180900
500900,181000
500900,181100
500900,181200
500900,181300
500900,181400
500900,181500
500900,181600
500900,181700
500900,181800
500900,181900
500900,182000
500900,182100
500900,182200
500900,182300
500900,182400
500900,182500
500900,182600
500900,182700
500900,182800
500900,182900
500900,183000
500900,183100
500900,183200
500900,183300
500900,183400
500900,183500
500900,183600
500900,183700
500900,183800
500900,183900
500900,184000
500900,184100
500900,184200
500900,184300
500900,184400
500900,184500
500900,184600
500900,184700
500900,184800
500900,184900
500900,185000
500900,185100
500900,185200
500900,185300
500900,185400
500900,185500
500900,185600
500900,185700
500900,185800
500900,185900
500900,186000
500900,186100
500900,186200
500900,186300
500900,186400
500900,186500
500900,186600
500900,186700
500900,186800
500900,186900
500900,187000
500900,187100
500900,187200
500900,187300
500900,187400
500900,187500
500900,187600
500900,187700
500900,187800
500900,187900
500900,188000
500900,188100
500900,188200
500900,188300
500900,188400
500900,188500
500900,188600
500900,188700
500900,188800
500900,188900
500900,189000
500900,189100
500900,189200
500900,189300
500900,189400
500900,189500
500900,189600
500900,189700
500900,189800
500900,189900
500900,190000
501000,180100
501000,180200
501000,180300
501000,180400
501000,180500
501000,180600
501000,180700
501000,180800
501000,180900
501000,181000
501000,181100
501000,181200
501000,181300
501000,181400
501000,181500
501000,181600
501000,181700
501000,181800
501000,181900
501000,182000
501000,182100
501000,182200
501000,182300
501000,182400
501000,182500
501000,182600
501000,182700
501000,182800
501000,182900
501000,183000
501000,183100
501000,183200
501000,183300
501000,183400
501000,183500
501000,183600
501000,183700
501000,183800
501000,183900
501000,184000
501000,184100
501000,184200
501000,184300
501000,184400
501000,184500
501000,184600
501000,184700
501000,184800
501000,184900
501000,185000
501000,185100
501000,185200
501000,185300
501000,185400
501000,185500
501000,185600
501000,185700
501000,185800
501000,185900
501000,186000
501000,186100
501000,186200
501000,186300
501000,186400
501000,186500
501000,186600
501000,186700
501000,186800
501000,186900
501000,187000
501000,187100
501000,187200
501000,187300
501000,187400
501000,187500
501000,187600
