LRUniqueID,SalePrice,SaleDate,PCUnit,PropertyType,NewBuild,Freehold,Add1,Add2,Add3,Easting,Northing
{85866A64-5CB8-143F-E053-6B04A8C06A15},330000,07/03/2019,UB10 9BH,T,N,F,40,,RICHMOND AVENUE,507930,184542
{85866A64-60C2-143F-E053-6B04A8C06A15},420000,01/02/2019,HA4 7BA,F,N,L,"THE THOMAS MORE BUILDING, 10",FLAT 6,ICKENHAM ROAD,509183,187325
{85866A64-60B4-143F-E053-6B04A8C06A15},425000,07/03/2019,UB8 2NQ,D,N,F,66,,WALFORD ROAD,505651,183389
{85866A64-6058-143F-E053-6B04A8C06A15},283000,14/03/2019,UB8 2FA,F,Y,L,"JESSOP COURT, 2",FLAT 64,BRINDLEY PLACE,505401,181301
{85866A64-6F9E-143F-E053-6B04A8C06A15},630000,24/01/2019,UB9 5EG,D,N,F,28,,MIDDLE ROAD,502635,187824
{7E86B6FA-816D-458C-E053-6B04A8C0C84C},1150000,13/10/2017,SL9 8LA,D,N,F,NORTH LODGE,,LOWER ROAD,500436,189899
{7E86B6FA-6DF4-458C-E053-6B04A8C0C84C},145000,15/11/2018,UB8 2DF,F,N,L,"KENDALL MEWS, 2",FLAT 7,WHITEHALL ROAD,505518,183836
{5CF9903B-765E-7F13-E053-6C04A8C074B1},280000,18/09/2017,UB8 2TZ,F,N,L,45,,ROCKINGHAM ROAD,505131,183918
{666758D6-75AC-3363-E053-6B04A8C0D74E},395000,22/01/2018,UB10 0PS,S,N,F,38,,MARLBOROUGH ROAD,507926,182568
{726BF13B-09BF-0A46-E053-6C04A8C01D0D},467500,28/06/2018,UB4 8EY,S,N,F,91,,BLACKLANDS DRIVE,508438,182276
{726BF13A-5446-0A46-E053-6C04A8C01D0D},295000,29/06/2018,UB4 8EH,F,N,L,THURBIN HOUSE,FLAT 8,HAYES END ROAD,508905,181994
{726BF13A-5887-0A46-E053-6C04A8C01D0D},260000,16/05/2018,UB8 1BA,F,N,L,1A,,CORNWALL ROAD,505733,184722
{726BF13A-5494-0A46-E053-6C04A8C01D0D},330000,22/06/2018,UB7 7FJ,F,N,L,"HERON HOUSE, 74",11,WRAYSBURY DRIVE,505696,180605
{726BF13B-0A26-0A46-E053-6C04A8C01D0D},580000,09/07/2018,HA4 7PF,D,N,F,2,,GLENFIELD CRESCENT,508521,187959
{82468498-0102-4290-BEBC-C81BE3323DF3},350000,14/07/2015,UB10 9DP,T,N,F,117,,MIDHURST GARDENS,508153,183880
{8355F009-3A3E-55C5-E053-6B04A8C0D090},780000,14/02/2019,UB10 8ND,D,N,F,20,,MILTON COURT,507821,186125
{8355F009-3EF3-55C5-E053-6B04A8C0D090},399000,23/01/2019,UB8 3JD,T,N,F,325,,HARLINGTON ROAD,507924,181461
{965B6D91-A551-95E4-E053-6C04A8C07729},310000,20/09/2019,UB4 8QS,T,N,F,23,,FAIRHOLME CRESCENT,509999,182201
{9DBAD221-FC7D-6EB3-E053-6B04A8C0F257},410000,15/01/2020,UB8 2NQ,D,N,F,69,,WALFORD ROAD,505651,183389
{9DBAD221-4C7B-6EB3-E053-6B04A8C0F257},200000,15/01/2020,UB8 3PG,F,N,L,22,,HUXLEY CLOSE,505811,182239
{A96E4ACB-CD73-9205-E053-6C04A8C0DA09},375000,07/02/2020,UB8 1DB,F,N,L,TILTON COURT 2A,FLAT 4,FAIRFIELD ROAD,505867,184542
{A96E4ACB-CD74-9205-E053-6C04A8C0DA09},125000,30/04/2020,UB8 2LJ,F,N,L,44,,VERONA CLOSE,505416,181462
{A96E4ACB-D04C-9205-E053-6C04A8C0DA09},305000,26/03/2020,UB9 6AG,F,N,L,7,,ST MARYS CLOSE,504879,189537
{A96E4ACB-D065-9205-E053-6C04A8C0DA09},400000,21/02/2020,UB3 2PP,S,N,F,16,,CROMWELL ROAD,508823,181479
{A96E4ACB-D089-9205-E053-6C04A8C0DA09},200000,07/04/2020,UB3 2LP,F,N,L,CHARTWELL COURT,FLAT 17,CHURCH ROAD,509684,180658
{A96E4ACB-CDD7-9205-E053-6C04A8C0DA09},138000,27/03/2020,UB7 7FJ,F,N,L,"HERON HOUSE, 74",15,WRAYSBURY DRIVE,505696,180605
{B0A9D11B-2DD8-4C1F-E053-6C04A8C0D716},540000,07/08/2020,UB10 8SB,S,N,F,1A,,COPTHALL ROAD EAST,507562,186391
{5376B385-B304-34C1-E053-6B04A8C09FF6},336000,01/06/2017,UB4 0AB,T,N,F,10,,WHITTINGTON AVENUE,509658,181696
{5376B385-051C-34C1-E053-6B04A8C09FF6},200000,02/08/2016,HA4 7JH,F,N,L,GLEBE COURT,9,HILL LANE,508592,187531
{5376B385-B23F-34C1-E053-6B04A8C09FF6},425000,30/05/2017,UB4 8EX,S,N,F,56,,BLACKLANDS DRIVE,508495,182138
{5376B385-B331-34C1-E053-6B04A8C09FF6},610000,19/05/2017,HA4 6HD,S,N,F,42,,HERLWYN AVENUE,509343,186573
{5376B385-024D-34C1-E053-6B04A8C09FF6},310000,26/05/2017,UB3 2FJ,F,N,L,"SEVERUS HOUSE, 155",FLAT 5,VARCOE GARDENS,508881,181169
{5376B385-0264-34C1-E053-6B04A8C09FF6},260000,16/05/2017,UB3 2RB,T,N,F,18,,MIDDLETON ROAD,508941,181632
{5376B385-B66A-34C1-E053-6B04A8C09FF6},557000,01/06/2017,HA6 1LD,S,N,F,18,,LINCOLN ROAD,509871,189864
{8DF44BBB-CF26-405E-9B06-A5175B6C939C},575000,17/07/2015,UB8 3NE ,D,N,F,4,,THE MEADS,506100,182043
{6FBED1F0-5BE3-4CB4-8598-6C2F541EAE9C},302000,20/04/2015,UB10 0FH,F,N,L,23,,TEDDER CLOSE,506643,184244
{D396C035-0F48-4C36-B2D4-032EE4E5E3D7},305000,30/01/2015,UB3 2QR ,S,N,F,12,,STUART CRESCENT,508534,181368
{BD144275-27E1-4F16-B10D-212E27A9482B},292500,28/01/2015,UB10 9HF,S,N,F,145,,LEYBOURNE ROAD,508053,183606
{D71A338B-E07A-410B-B4AE-04B7AFB9DC4D},280000,30/01/2015,UB10 0DZ,T,N,F,10,,BRAMBLES FARM DRIVE,507476,182563
{6B32222B-F540-01F1-E053-6C04A8C0D2C8},171000,20/12/2017,SL0 9NG,F,N,L,32A,,HIGH STREET,503813,181217
{3F3A5CB8-297E-4931-820F-37A394ED0BD6},662500,09/04/2015,SL0 9NG ,T,N,F,54A,,HIGH STREET,503813,181217
{8432C015-4797-4039-8FAA-F68D46D2C8A0},310000,26/01/2015,UB10 0DZ,T,N,F,32,,BRAMBLES FARM DRIVE,507476,182563
{919FEC05-85C2-9A90-E053-6C04A8C0A300},820000,15/08/2019,UB8 3NE,D,N,F,6,,THE MEADS,506100,182043
{F7E651A3-C2EE-4662-A2C6-F7176446C0E9},335000,28/07/2015,HA4 7EQ ,F,N,L,25,,SEAFORD CLOSE,508826,186865
{8371CEDC-6174-481A-BE73-F79AB9C29535},372000,14/08/2015,UB4 8AT ,S,N,F,12,,BYRON WAY,509550,182484
{23B6165D-D224-FCF4-E050-A8C0620577FA},187000,28/09/2015,UB3 1JR ,F,N,L,17,,ASH GROVE,508889,180887
{23B6165D-CC27-FCF4-E050-A8C0620577FA},292000,25/09/2015,UB7 8JY ,S,N,F,42,,WHITETHORN AVENUE,506507,180635
{7E86B6FB-16D0-458C-E053-6B04A8C0C84C},485000,30/11/2018,UB10 0EH,T,N,F,140,,LONG LANE,507508,183441
{7E86B6FB-1766-458C-E053-6B04A8C0C84C},458000,03/12/2018,UB8 3DY,S,N,F,55,,NEW ROAD,508098,181955
{7E86B6FB-1A78-458C-E053-6B04A8C0C84C},440000,31/10/2018,UB3 2EJ,T,N,F,8,,TOWNFIELD ROAD,509790,180496
{7E86B6FB-15B0-458C-E053-6B04A8C0C84C},870000,30/11/2018,HA4 8DR,D,N,F,20,,LARNE ROAD,509764,187621
{7E86B6FB-178E-458C-E053-6B04A8C0C84C},350000,05/10/2018,UB8 3PB,D,N,F,8,,PIELD HEATH AVENUE,507355,181977
{7E86B6FB-164B-458C-E053-6B04A8C0C84C},340000,07/12/2018,UB4 8RW,S,N,F,71,,LANSBURY DRIVE,509693,181931
{7E86B6FB-1A07-458C-E053-6B04A8C0C84C},420000,18/12/2018,UB10 0SN,S,N,F,45,,HEATH ROAD,508153,182402
{7E86B6FB-1653-458C-E053-6B04A8C0C84C},535000,05/11/2018,UB8 2PJ,S,N,F,43,,THE GREENWAY,505556,183128
{8355F009-3A5B-55C5-E053-6B04A8C0D090},550000,14/12/2018,UB10 8PN,S,N,F,58,,SUSSEX ROAD,508452,185307
{8355F008-A38B-55C5-E053-6B04A8C0D090},589226,23/10/2018,UB10 8RJ,S,N,F,24,,ST GILES AVENUE,508360,185814
{8A78B2AF-3239-5CB0-E053-6B04A8C0F504},475000,08/04/2019,UB8 3NB,F,N,L,27,FLAT 2,CHURCH ROAD,505931,182168
{61D8894E-23DF-3DE6-E053-6C04A8C01207},500000,24/11/2017,UB8 1PW,T,N,F,195,,HAREFIELD ROAD,505728,185147
{7C2D06FF-9D74-4963-E053-6B04A8C07B97},270000,26/10/2018,UB3 2AZ,F,N,L,58,,COMPTON ROAD,509464,180577
{7C2D06FF-9DC6-4963-E053-6B04A8C07B97},435000,23/10/2018,HA4 6PN,T,N,F,15,,LEA CRESCENT,509802,185605
{7C2D06FF-B35A-4963-E053-6B04A8C07B97},1500000,11/10/2018,SL9 8BL,D,N,F,MARESFIELD,,BEECH WAYE,501061,187883
{7C2D06FF-9E75-4963-E053-6B04A8C07B97},250000,21/10/2018,UB8 2LP,F,N,L,116,,NEWCOURT,505333,181565
{2FD36065-CBFD-4BF8-E050-A8C0620562B1},850000,11/03/2016,HA4 7XR ,D,N,F,26,,BROADWOOD AVENUE,509212,188322
{2AC10E4F-CC17-1AF6-E050-A8C063052BA1},485000,18/12/2015,UB8 2NG ,S,N,F,32,,WALFORD ROAD,505564,183349
{2AC10E4F-C832-1AF6-E050-A8C063052BA1},400000,16/12/2015,UB10 0HT,S,N,L,9,,GRESHAM ROAD,507333,183313
{64342BFE-8B99-422C-E053-6C04A8C0FB8A},845000,05/01/2018,HA4 6DF,S,N,F,10,,WILLOW GROVE,509743,187021
